age,sex,zagran_passport,driver_license,credit_sum,family_status,children_dependents,work_experience,income,additional_income,additional_income_type,car_price,from
40,2,0,1,315,4,1,2,27,61,8,3168,11
84,1,0,1,135,1,0,6,94,35,3,4128,38
35,2,1,0,85,2,0,10,60,22,1,0,14
44,1,0,1,642,4,0,12,51,41,8,0,50
77,1,1,1,870,1,0,7,39,4,6,0,16
59,1,0,1,132,2,0,35,141,22,5,0,3
81,1,1,0,352,4,0,16,80,32,1,0,25
49,1,0,1,0,4,3,1,38,50,3,2464,38
63,2,0,0,767,1,3,5,87,30,5,0,39
42,1,0,1,0,3,0,21,65,34,5,3168,44
26,2,1,1,671,3,2,4,173,79,3,0,3
79,2,0,0,753,2,0,12,158,9,5,0,41
49,1,1,1,0,1,3,20,71,43,4,3534,3
60,2,0,1,482,1,0,29,64,89,4,0,34
25,1,0,0,708,2,0,3,186,22,6,0,18
33,1,1,1,3552,4,1,11,131,15,7,0,20
32,1,0,1,451,1,3,7,25,39,3,0,22
72,2,1,0,95,3,0,26,55,24,9,0,12
51,1,1,1,2671,4,3,4,33,44,8,0,13
31,2,0,1,164,2,0,8,180,8,7,3760,23
29,2,0,0,4317,1,1,7,20,12,1,0,11
40,1,0,1,910,2,0,20,120,4,1,1488,5
71,1,0,1,648,1,2,32,157,64,8,0,20
31,2,1,1,602,1,2,12,99,33,3,1716,42
67,2,1,0,396,2,0,20,68,37,7,0,40
29,2,1,1,1839,2,0,7,131,86,7,4557,28
35,2,0,1,718,3,2,2,186,4,7,3230,21
26,2,0,1,756,1,1,6,28,27,5,0,5
35,2,0,1,4292,3,0,4,63,39,1,0,36
22,2,1,1,171,1,2,0,119,11,4,3770,17
64,1,0,1,903,2,0,13,84,89,7,2595,18
35,1,0,0,1950,1,2,13,67,15,4,0,43
25,2,0,0,0,3,0,5,191,54,5,0,33
23,1,1,1,642,2,0,4,197,12,8,0,39
59,1,0,1,298,2,0,30,73,82,4,4805,11
35,1,1,1,721,4,0,0,112,22,8,3618,15
80,2,1,1,803,4,3,44,32,1,6,528,37
53,2,0,1,179,1,2,7,40,35,7,0,7
44,2,0,0,103,1,1,0,41,6,8,0,22
70,2,0,1,4923,1,2,0,92,43,6,0,33
26,2,0,0,141,3,2,2,177,6,7,0,9
37,1,0,0,766,1,0,8,93,20,3,0,20
44,2,0,0,285,1,0,16,77,12,9,0,38
72,1,0,1,815,1,1,19,79,43,6,3172,14
42,2,0,0,384,2,0,16,88,35,8,0,18
71,2,0,1,0,4,2,38,146,11,7,4239,7
72,1,1,1,510,1,2,3,44,4,3,0,49
80,2,0,0,121,1,2,17,75,72,5,0,21
33,2,1,0,3309,1,3,14,44,44,8,0,19
19,1,0,1,597,1,2,0,151,27,2,0,15
26,1,1,0,1435,1,3,4,27,26,7,0,22
50,2,1,1,4582,2,0,29,96,39,5,0,50
68,2,1,0,81,2,0,27,83,26,4,0,25
44,1,0,1,4211,1,1,16,89,19,4,0,50
36,2,0,1,111,1,1,15,184,2,9,4278,28
33,1,0,1,0,1,0,1,87,29,1,3248,4
25,2,0,1,225,1,0,1,68,21,6,0,42
64,1,1,1,213,4,1,11,30,6,9,1080,13
65,1,0,0,997,1,0,12,137,9,3,0,37
59,1,0,0,375,2,0,18,147,36,7,0,30
40,1,1,1,638,2,0,5,85,94,3,0,24
33,2,0,0,0,3,2,6,23,41,4,0,15
45,2,0,1,405,1,2,1,177,14,2,0,47
54,1,1,0,498,3,0,17,84,39,3,0,38
30,2,1,1,204,3,0,9,37,54,1,1365,44
76,2,1,1,949,1,0,2,125,34,3,3021,13
23,1,1,1,764,1,3,3,26,42,2,952,15
39,1,0,0,653,1,2,9,42,34,8,0,45
73,2,1,1,78,1,1,5,64,84,8,0,10
40,2,1,1,4106,4,3,21,100,22,8,3660,23
22,1,1,0,338,2,0,2,168,2,4,0,31
25,2,1,0,275,1,0,1,46,94,5,0,45
50,2,0,1,267,1,0,15,71,72,2,4433,31
61,2,0,1,410,1,3,40,170,20,4,2850,26
46,2,1,0,1441,1,3,2,99,40,3,0,17
70,1,0,0,319,2,0,15,58,6,2,0,21
40,2,1,0,4933,1,0,9,838,30,9,0,4
74,2,0,1,0,2,0,44,111,25,1,0,28
57,2,1,1,450,4,3,36,164,36,7,0,6
53,1,0,0,518,2,0,33,30,13,6,0,9
55,1,0,1,0,1,0,5,70,44,1,0,5
42,1,1,1,634,2,0,14,68,7,1,2700,47
45,1,0,1,872,2,0,24,118,53,3,0,16
40,1,0,1,229,2,0,20,99,68,8,3006,5
19,1,1,1,959,4,0,0,41,16,9,0,29
57,2,0,0,0,3,1,5,64,41,4,0,21
36,1,1,0,696,1,1,4,127,18,1,0,13
34,2,0,1,626,4,1,4,189,2,3,0,19
22,1,1,1,0,1,1,2,129,27,6,0,47
39,2,1,1,188,2,0,1,26,2,5,868,15
75,1,1,1,407,2,0,12,102,27,3,0,11
61,1,0,0,744,1,0,0,102,100,9,0,1
48,2,0,1,246,2,0,18,89,8,4,2425,43
59,2,0,0,366,1,3,7,87,21,2,0,39
31,2,0,0,973,1,1,6,131,31,7,0,19
41,2,0,1,357,1,3,15,148,89,9,6162,18
35,1,1,0,170,3,2,10,33,7,4,0,28
68,1,0,1,1120,1,0,24,63,13,7,0,35
27,2,0,0,0,1,2,5,172,12,3,0,24
42,2,1,0,104,1,1,9,53,69,9,0,49
69,2,0,1,425,1,2,38,181,59,9,0,27
69,2,1,1,252,1,3,26,57,100,1,0,39
27,1,0,1,908,1,2,4,80,95,9,0,48
55,2,0,1,4844,1,1,19,185,8,7,0,13
59,2,1,1,611,2,0,5,22,24,3,782,25
37,2,1,1,890,2,0,9,52,79,1,3799,44
54,1,1,0,547,1,2,21,588,14,7,0,12
24,1,1,1,355,4,1,1,61,26,2,2436,46
31,1,0,0,579,1,3,8,615,26,6,0,47
26,1,0,1,0,3,1,6,76,67,5,2574,21
27,2,0,1,4435,2,0,2,148,5,8,4284,34
55,2,0,1,394,3,2,34,90,15,7,0,4
26,2,0,1,811,1,3,5,28,29,9,0,45
56,2,1,0,3782,4,1,28,98,27,9,0,51
23,2,1,1,0,1,0,0,156,13,1,5239,12
44,2,0,0,439,4,3,9,24,20,9,0,48
60,1,1,0,0,1,0,41,95,11,2,0,51
70,2,1,1,762,4,0,28,180,25,6,0,3
62,1,0,1,843,1,1,34,190,51,8,0,26
34,1,1,0,4639,3,0,11,124,19,2,0,45
54,1,0,1,892,1,3,17,164,36,8,7000,27
31,2,0,1,423,4,3,3,158,17,7,2275,40
24,1,0,1,1083,1,3,0,22,19,7,0,7
43,1,0,1,0,2,0,10,175,60,8,0,6
56,1,0,0,115,2,1,13,29,78,1,0,41
33,2,1,1,875,1,0,9,44,6,3,0,47
73,2,0,0,1294,1,1,54,26,9,3,0,37
31,1,0,1,269,3,3,4,109,45,2,0,14
74,1,0,1,730,1,1,25,192,42,1,0,38
47,2,0,0,882,3,1,20,115,29,7,0,49
51,1,1,0,690,1,1,17,129,51,6,0,6
80,1,1,1,0,1,3,60,180,16,5,0,37
57,2,1,0,718,1,2,26,57,4,6,0,23
47,2,0,0,117,1,3,8,72,14,2,0,24
45,1,1,0,303,1,2,25,58,59,4,0,31
36,2,1,1,200,2,0,5,36,0,8,504,41
51,1,1,0,0,1,1,22,107,43,8,0,46
39,1,0,1,176,2,0,1,73,84,1,5181,25
72,1,0,0,856,2,0,9,64,49,2,0,41
43,2,1,1,0,4,3,6,149,42,5,0,27
42,2,1,1,354,1,3,3,193,21,5,0,31
56,2,0,1,2490,1,1,20,81,36,8,0,40
33,1,0,1,0,3,1,13,115,35,1,0,45
77,1,1,1,733,1,1,36,107,40,5,2058,46
52,1,0,1,411,1,1,28,24,17,6,738,21
20,1,1,1,1139,2,0,0,22,14,7,0,11
20,2,0,0,3551,1,0,1,140,3,9,0,48
33,2,1,1,0,1,2,14,183,24,5,0,42
31,2,0,0,0,4,2,6,670,19,7,0,44
43,2,0,1,498,1,0,6,58,84,4,0,18
79,2,0,1,1485,1,0,13,66,0,5,0,18
37,1,0,1,3000,1,0,15,104,3,9,1498,39
29,1,1,1,0,3,0,10,189,44,6,4660,21
27,1,0,1,344,1,1,2,71,849,8,0,41
58,1,0,1,0,4,1,14,146,37,1,0,7
59,2,0,1,3401,2,0,22,139,68,5,0,13
62,1,0,1,540,4,0,11,73,88,3,0,25
37,2,1,1,0,1,1,0,104,25,7,0,36
21,2,1,0,537,2,0,2,23,48,6,0,32
32,2,1,1,4728,1,2,4,146,92,6,0,9
43,2,0,1,0,2,0,13,107,2,1,0,45
36,2,1,1,294,4,3,11,88,29,9,3276,0
32,1,0,1,706,1,0,6,156,83,7,0,7
61,2,0,1,0,4,3,5,47,23,9,0,17
74,1,0,0,272,2,0,5,110,16,6,0,26
41,1,0,1,485,3,1,3,169,1,2,4080,45
73,1,1,1,992,1,1,16,49,44,2,1395,16
24,1,1,1,487,1,2,1,61,32,8,0,40
31,1,1,1,628,1,2,1,115,93,5,4784,1
42,2,1,1,494,3,0,1,95,33,3,4224,12
54,1,0,1,501,3,0,32,155,12,9,5511,25
73,2,0,1,260,1,0,31,93,73,2,0,25
70,2,1,0,109,1,0,48,144,6,2,0,28
57,1,0,1,782,3,1,35,138,45,3,4941,36
60,1,0,1,978,3,2,25,100,11,8,2331,2
40,1,0,0,0,1,1,12,35,26,1,0,9
73,1,0,1,462,1,3,51,83,9,4,0,10
23,1,0,1,3348,1,1,3,44,15,8,1947,34
80,2,1,1,75,1,2,7,80,2,2,0,30
31,2,0,1,520,1,3,9,54,74,2,0,6
56,2,0,1,688,4,1,33,77,92,6,0,35
63,2,1,0,788,2,0,43,110,29,3,0,45
20,1,0,1,0,1,1,0,35,3,2,1178,40
25,1,1,1,919,1,1,3,184,43,3,3859,15
82,1,0,1,260,3,0,48,89,40,2,4644,25
44,2,1,1,441,1,3,11,47,36,2,0,22
34,1,0,1,376,4,0,7,150,44,2,3686,34
69,2,0,0,1176,1,0,9,182,18,3,0,16
45,2,0,0,918,1,0,10,91,21,2,0,26
58,1,1,1,91,2,0,5,359,35,5,0,1
57,2,0,0,514,2,0,20,122,10,1,0,44
60,2,1,0,177,1,1,8,184,94,2,0,5
87,1,1,1,301,1,2,29,40,73,9,0,5
28,2,0,1,956,1,3,9,73,8,2,0,17
61,1,0,1,219,1,1,8,91,36,6,3937,8
69,1,0,0,208,3,2,38,72,25,2,0,32
62,1,1,1,460,2,0,20,94,29,3,3075,46
67,1,0,1,870,1,1,30,123,40,5,4564,44
68,1,0,0,454,1,2,46,88,45,2,0,27
49,2,0,1,1083,4,3,23,187,58,6,6860,35
48,2,1,1,693,2,0,26,562,80,6,11556,15
69,1,0,1,781,2,0,15,52,35,9,2523,9
35,2,0,1,2161,1,1,16,117,3,3,3840,44
63,1,0,1,94,4,3,43,117,26,1,3289,29
41,1,1,1,756,3,1,6,146,52,3,3762,41
68,1,0,1,1088,1,0,11,198,25,2,0,46
25,1,0,1,203,2,0,3,72,47,8,0,51
38,2,1,0,838,2,0,5,97,38,5,0,37
68,2,0,0,359,1,2,42,162,17,5,0,29
62,1,0,0,681,1,2,14,35,81,1,0,45
56,2,1,1,614,1,1,32,54,45,7,0,34
64,2,0,1,1332,1,3,20,200,0,6,0,32
59,2,1,0,419,1,1,21,97,11,8,0,11
36,2,0,1,458,1,1,12,132,23,9,5270,46
48,2,1,1,671,1,2,16,35,23,1,0,21
33,2,0,1,598,1,1,3,192,16,5,0,31
49,1,0,1,484,1,0,22,46,23,3,0,24
55,1,0,0,2337,1,2,16,106,20,6,0,32
58,2,1,0,309,3,3,32,148,65,1,0,5
71,1,1,0,812,2,0,26,58,31,5,0,16
67,2,1,0,979,2,0,31,143,33,1,0,21
23,1,0,1,0,1,1,2,192,7,4,2985,22
54,2,0,1,138,2,0,16,74,4,5,1794,20
48,1,0,0,658,1,0,6,47,29,6,0,33
50,1,1,0,882,2,0,24,56,32,3,0,5
43,2,0,0,0,1,2,20,174,1,9,0,0
22,1,1,1,319,3,2,3,82,99,9,0,2
68,2,1,0,259,3,2,4,171,35,9,0,29
36,1,1,1,113,1,3,15,37,3,1,1360,0
69,2,1,1,3537,4,2,20,184,0,5,0,48
51,2,0,1,813,1,0,1,95,71,1,3154,33
48,2,0,0,838,2,0,13,157,7,9,0,46
45,2,0,1,175,3,0,7,182,26,8,0,28
65,1,1,0,77,2,0,41,29,1,9,0,14
77,2,0,1,236,1,3,41,83,25,3,2052,29
41,1,1,1,795,1,1,10,123,71,6,0,45
64,2,0,1,524,1,3,26,48,70,1,2360,31
78,2,0,1,464,1,3,0,184,66,1,4500,23
32,1,0,1,3972,3,0,4,64,46,4,2530,31
31,2,0,1,334,3,2,1,42,0,1,840,47
31,1,0,0,149,1,3,12,68,4,5,0,25
57,1,0,1,465,2,0,33,73,2,7,2625,1
26,2,0,0,3169,2,0,7,135,21,4,0,9
64,1,1,0,3809,2,0,36,182,31,8,0,47
49,1,0,0,237,2,0,9,138,604,1,0,10
36,2,1,1,845,1,0,12,59,80,6,0,37
53,1,1,1,661,2,0,24,71,38,7,1744,39
59,2,0,1,211,1,1,36,172,10,8,5278,37
74,1,1,0,676,1,2,12,162,38,8,0,13
64,1,0,1,733,2,0,16,169,3,7,0,45
58,2,1,1,0,4,0,24,52,25,3,0,14
49,2,1,1,0,3,1,2,147,98,2,5145,21
45,2,1,0,285,2,0,18,54,11,5,0,1
90,1,1,1,1698,2,0,63,99,25,6,0,9
72,2,0,1,676,3,2,43,100,92,6,0,0
30,2,0,1,620,1,0,8,46,0,1,0,28
59,1,0,1,478,2,0,22,172,41,6,4686,11
39,1,1,0,0,2,0,9,124,32,3,0,18
55,1,1,1,626,1,1,17,184,36,4,7700,50
52,1,0,1,309,2,0,20,41,23,8,1408,37
37,1,1,0,640,1,1,7,64,27,4,0,5
56,2,1,1,2015,1,1,11,104,0,1,2288,29
60,2,1,1,866,2,0,34,88,47,9,0,18
57,1,0,1,65,1,3,3,147,1,1,3256,45
77,1,1,0,376,3,2,33,164,87,2,0,13
67,1,0,0,0,4,1,22,71,20,3,0,14
85,2,0,0,700,2,0,37,188,27,3,0,2
67,1,0,1,227,1,2,35,76,15,5,1274,5
56,1,0,1,134,1,2,31,305,8,6,0,34
41,2,0,0,2941,4,1,5,45,65,7,0,18
22,2,1,1,66,4,2,2,50,11,2,1220,17
53,2,0,1,649,3,2,26,124,53,7,0,40
71,2,0,0,0,3,2,49,73,36,2,0,8
45,1,0,0,103,4,0,6,190,13,9,0,42
72,1,0,1,2539,1,1,48,111,15,2,3780,49
27,1,0,1,803,2,0,6,156,100,1,0,35
46,1,1,1,744,3,3,26,45,47,3,2116,22
44,1,0,1,244,1,2,24,91,74,3,0,41
83,2,0,1,0,2,0,54,171,37,3,5200,32
52,2,0,0,0,1,1,25,197,3,7,0,38
58,2,0,1,424,1,0,31,23,80,5,1236,40
63,1,1,1,487,2,0,36,115,7,6,3904,39
31,2,0,1,909,4,2,7,24,26,3,0,40
42,2,0,1,875,3,1,11,87,27,4,0,27
45,2,0,1,357,1,0,23,74,28,3,0,3
64,1,1,0,903,1,1,41,155,40,5,0,12
38,2,1,1,705,3,0,1,31,17,6,0,39
70,2,0,1,0,1,1,43,33,13,1,0,2
23,1,1,1,570,2,0,1,95,4,8,0,46
18,2,1,1,681,3,0,0,140,8,6,2664,36
88,2,0,0,501,2,0,14,41,84,9,0,46
60,1,0,1,763,1,2,22,24,24,2,1200,2
59,1,0,0,686,1,1,1,90,10,8,0,34
45,2,0,0,374,1,3,5,88,86,6,0,9
30,1,1,0,191,2,0,2,94,27,7,0,46
79,2,0,0,1974,2,0,52,39,19,4,0,39
50,2,0,1,221,4,3,17,112,35,6,4263,15
51,2,0,0,772,2,0,7,165,22,3,0,9
50,1,0,1,167,1,3,14,43,28,3,0,50
85,1,0,1,0,1,1,29,132,18,3,1950,7
51,2,0,0,91,3,3,30,92,26,3,0,27
66,2,0,0,154,2,0,18,29,22,9,0,51
68,2,0,0,347,1,1,42,146,37,5,0,42
33,2,0,0,208,2,0,7,161,55,9,0,34
42,1,0,1,980,2,0,10,61,1,8,0,22
60,1,0,0,4927,1,1,29,20,19,5,0,9
57,1,0,1,913,1,0,32,89,65,9,0,23
80,2,0,0,228,1,1,31,158,31,9,0,7
67,2,1,0,268,3,2,44,107,88,8,0,42
70,1,1,1,969,3,0,21,198,51,5,2988,48
29,1,0,0,0,1,3,0,128,30,6,0,8
24,1,1,0,927,4,3,1,99,38,2,0,18
56,2,0,1,696,2,0,18,77,8,2,1700,14
34,2,1,0,850,1,2,6,76,44,3,0,34
38,1,1,0,815,3,2,17,55,36,7,0,22
69,2,0,1,262,1,0,7,186,29,2,2580,43
22,1,0,1,282,1,0,3,100,8,3,0,5
79,1,0,1,218,3,0,40,49,21,4,0,14
29,1,1,0,2673,1,0,0,102,39,8,0,22
54,2,1,0,469,1,1,9,112,30,8,0,49
61,2,1,1,0,2,0,17,186,97,4,0,50
56,2,1,1,4506,1,0,19,55,6,9,0,32
76,2,0,0,570,2,0,2,88,10,9,0,20
37,1,0,1,2623,2,0,17,30,13,3,0,45
58,2,0,1,505,1,1,11,72,10,1,2050,18
48,2,1,1,494,4,0,8,131,3,1,0,33
22,1,0,1,503,3,0,2,94,61,8,2790,4
51,1,0,1,157,1,1,4,33,72,9,1575,40
39,2,0,1,388,2,0,20,178,21,4,5771,30
32,2,1,0,562,2,0,3,21,18,1,0,7
35,1,1,1,0,3,1,6,36,60,8,3168,3
34,2,0,0,550,4,0,10,175,12,6,0,16
71,1,0,1,699,1,0,9,55,12,7,1742,26
47,1,0,0,1152,1,1,19,519,37,9,0,33
45,1,0,1,450,1,3,9,76,26,6,0,36
75,2,0,1,425,1,3,6,130,13,7,0,34
29,1,0,0,788,3,0,1,172,25,4,0,51
88,1,0,0,240,4,1,40,150,28,5,0,11
48,2,0,1,2199,3,3,13,23,1,7,744,36
34,1,0,0,3834,1,2,15,39,19,5,0,5
80,1,0,0,1801,4,1,4,161,86,4,0,3
28,2,0,0,615,2,0,2,92,65,2,0,34
35,2,0,1,265,4,2,3,94,47,5,0,14
60,1,0,1,464,1,1,28,71,39,2,2750,5
40,2,1,0,122,1,2,16,97,83,7,0,15
39,2,0,1,499,1,1,4,156,14,4,0,51
67,2,0,0,1526,1,0,43,166,2,6,0,48
54,2,0,1,258,1,1,9,43,24,5,0,6
44,1,0,1,182,1,3,11,100,90,5,3420,7
48,1,0,1,500,1,0,0,43,40,5,2739,0
72,2,1,1,200,3,1,9,40,18,9,0,22
22,1,0,0,3915,1,0,2,88,26,3,0,26
71,2,0,0,149,1,0,31,80,21,7,0,22
51,1,1,1,0,1,0,22,193,18,9,6541,30
20,2,0,1,135,3,3,0,30,6,3,1152,16
65,2,1,0,966,4,3,10,62,5,9,0,22
49,2,0,1,0,3,0,8,37,7,1,0,18
33,1,0,1,0,2,1,12,78,13,1,2639,41
73,2,0,0,1287,3,0,5,65,88,4,0,3
63,2,1,0,0,2,0,28,43,13,7,0,28
76,2,0,1,234,1,2,21,27,8,3,1015,45
36,1,0,0,235,4,0,17,159,3,1,0,41
54,1,0,1,1458,1,2,23,25,33,2,0,9
33,2,1,0,0,2,0,7,83,15,7,0,22
74,2,0,0,65,3,3,48,163,31,2,0,47
57,1,0,1,3295,1,3,6,99,2,7,0,49
22,1,0,0,330,3,0,3,66,13,3,0,21
43,2,1,0,744,1,3,22,136,15,1,0,20
18,2,1,1,783,2,0,0,79,37,3,1856,38
48,1,0,1,1065,1,3,17,102,41,4,0,46
74,1,0,0,0,3,1,37,79,21,3,0,32
31,1,1,1,273,1,0,7,35,17,5,1456,27
36,1,0,1,472,3,0,6,28,32,2,0,9
49,2,0,1,827,1,2,16,50,26,5,1520,4
84,2,0,1,890,1,0,31,42,30,7,1584,41
48,2,1,1,0,1,3,25,86,8,2,2914,10
34,2,0,1,59,1,0,8,109,39,7,0,2
76,2,1,1,713,2,0,34,72,26,6,1764,27
79,2,0,1,404,2,1,32,73,2,8,0,17
56,1,0,0,908,2,0,32,81,27,7,0,30
58,2,0,0,0,4,0,1,139,77,1,0,44
61,1,0,0,585,4,2,35,70,21,7,0,21
71,2,0,1,395,4,0,35,46,21,6,1340,17
18,1,1,0,0,3,2,0,173,20,6,0,30
72,1,0,0,583,1,3,41,181,5,2,0,42
44,1,0,0,967,4,0,13,42,18,1,0,40
29,2,0,1,4680,1,3,6,198,16,9,0,48
66,2,0,1,370,2,0,22,103,99,3,5454,37
64,1,0,1,348,3,0,29,142,39,4,6335,40
20,1,0,1,461,1,3,0,85,40,9,0,27
55,1,1,0,461,1,1,15,75,14,6,0,45
30,2,0,1,132,1,0,6,40,96,5,0,51
26,1,0,0,765,3,3,0,97,85,9,0,7
47,2,1,1,286,1,1,4,76,53,1,3483,41
45,1,0,1,2854,2,0,19,111,38,8,3427,17
35,2,0,1,3264,1,0,12,63,93,8,0,49
22,1,0,1,728,3,2,2,80,40,6,0,10
78,2,0,0,864,1,0,24,88,22,1,0,40
63,2,1,0,63,1,3,14,195,342,6,0,10
46,2,1,0,4146,2,0,1,73,30,7,0,41
68,1,1,1,225,4,1,35,87,11,8,1470,0
33,2,0,0,1205,3,0,12,119,91,6,0,31
76,2,1,0,512,1,1,33,135,22,2,0,31
33,1,1,1,999,3,0,6,56,6,1,1488,48
52,2,0,0,3464,3,2,1,141,30,4,0,10
31,2,0,1,0,2,0,5,85,25,6,0,1
24,2,0,1,989,1,1,0,116,16,3,0,13
72,1,0,1,965,2,0,51,66,39,5,0,17
54,1,0,0,0,2,0,15,165,33,8,0,31
88,1,0,1,4404,1,3,48,138,3,7,0,24
19,1,1,0,671,1,3,0,73,2,7,0,15
40,1,1,0,663,1,0,16,79,30,3,0,30
38,2,1,0,4130,1,2,4,68,29,2,0,16
42,1,0,1,78,2,0,9,115,34,8,5364,35
80,2,0,1,135,1,0,0,181,6,9,5423,30
33,2,0,1,952,3,0,13,160,89,9,6474,16
69,2,0,0,109,1,1,7,64,25,1,0,9
59,2,1,1,0,2,0,28,29,27,4,1848,18
51,1,1,0,3109,3,1,8,20,22,6,0,7
30,1,0,1,895,2,0,1,199,39,5,6188,37
22,1,1,1,1917,3,3,2,114,44,3,2212,30
26,1,0,1,274,1,3,2,174,36,3,0,40
34,1,0,1,0,1,3,9,123,71,8,0,14
20,2,0,1,751,4,0,0,54,7,3,0,7
33,2,0,0,152,2,0,0,134,32,2,0,29
41,1,0,1,618,1,3,17,138,19,7,2355,21
39,1,1,1,494,1,3,5,96,41,7,3836,7
79,2,0,1,834,1,1,33,63,23,2,0,30
23,2,0,0,393,1,2,1,59,16,3,0,24
28,1,0,1,4904,1,3,4,170,65,8,0,7
44,1,0,1,71,1,2,12,93,88,9,0,32
63,2,0,0,4079,1,3,26,141,38,4,0,22
37,1,0,1,0,1,2,5,151,16,1,0,43
79,2,1,1,936,2,0,18,65,8,6,1752,19
42,1,1,1,0,1,0,3,111,69,5,0,44
48,2,0,1,971,3,3,10,136,32,4,0,47
25,2,0,1,0,1,1,5,85,9,2,0,36
34,1,0,1,273,1,1,10,72,10,5,0,39
43,1,0,1,885,1,1,19,103,5,1,3672,44
75,1,1,1,0,3,1,50,70,43,1,3503,16
79,1,0,1,397,1,0,47,162,38,9,0,51
44,1,1,1,427,2,0,18,73,12,8,2890,23
77,1,1,0,460,2,0,5,52,37,3,0,40
80,1,0,1,935,3,3,1,54,46,3,2900,24
36,1,0,0,686,2,0,10,129,3,1,0,16
68,2,0,1,460,1,0,41,67,11,8,2184,12
63,2,0,0,501,3,0,30,165,91,4,0,3
67,1,0,1,0,1,0,11,154,89,8,0,43
74,1,0,1,830,2,0,9,39,90,6,4128,50
72,1,1,1,0,1,2,19,144,35,7,0,45
56,2,0,0,977,1,0,13,128,33,8,0,49
33,2,0,1,807,3,0,6,117,19,5,0,36
26,2,0,1,353,1,1,0,96,12,5,0,34
69,1,1,0,56,2,0,46,109,37,1,0,13
30,2,1,0,706,3,0,9,195,8,8,0,3
23,1,1,0,153,1,3,2,50,39,3,0,43
42,2,1,0,858,3,0,13,91,25,5,0,1
35,1,0,1,4268,2,0,3,135,23,4,5530,21
53,2,1,0,0,2,1,2,41,71,4,0,37
42,2,0,0,762,1,1,10,33,39,4,0,8
56,1,0,1,397,2,0,19,92,43,5,2160,33
60,2,1,1,323,2,0,23,42,15,8,0,41
42,1,0,1,4278,3,0,3,59,88,3,0,8
57,2,0,1,0,1,1,22,71,28,3,0,7
75,2,0,1,978,1,0,53,73,2,5,900,13
50,1,0,0,4734,3,2,16,57,27,6,0,42
23,1,1,1,3666,3,1,2,68,11,4,1027,5
53,1,1,1,692,1,0,34,101,25,4,1890,22
55,2,1,0,292,1,1,16,931,67,6,0,4
73,2,0,1,651,1,1,36,38,34,9,1512,31
37,1,1,0,745,2,0,1,162,0,7,0,14
43,1,1,1,591,1,1,18,98,28,2,0,21
65,1,0,1,645,1,0,8,38,51,4,0,9
