business_types,legal_form,authorized_capital(thousands),revenue(millions),net_profit(millions),from
17,3,446036,81789,4640.986110466924,23
9,6,502696,27002,3868.933715736618,0
9,1,37009,86051,1915.008139140302,47
14,1,946337,84740,77811.17222584726,2
16,4,650221,87930,16679.52013940322,16
7,3,317635,99209,32830.44544404475,38
3,4,689659,32609,20997.02978072788,14
3,5,294786,19274,10242.192279205272,43
13,3,492502,9919,5398.794166362205,8
19,6,102867,75024,24206.553911725692,5
9,5,686441,83656,72657.56176006416,27
4,5,922969,61641,24956.06344927096,37
1,4,177344,83081,73613.12090274191,24
19,1,302343,34773,670.1413571229801,31
1,6,17182,29966,23080.79999349095,39
12,5,819689,44372,8634.663007890542,5
18,4,514895,96545,9165.65184136313,6
10,4,767153,6263,2231.03631778207,37
10,2,732566,30572,23974.35774909416,26
12,3,375757,70983,43825.4494486679,10
6,4,389519,66717,30898.119026236833,31
18,6,529504,14424,2033.9606016108944,17
7,1,780645,75753,14153.501871307719,15
7,3,69727,80457,61757.188396528894,2
16,5,781409,5850,4280.2179077477895,3
12,3,640845,31573,28984.29911650927,29
11,1,930890,26420,9850.377216483323,21
15,4,874596,96460,57354.63994313822,4
5,3,54733,6092,3852.0621297109606,28
18,2,425963,79119,28931.479942173206,18
19,6,770153,13249,9274.416751999464,8
19,1,560226,23085,15451.926119766373,41
10,5,505848,87720,52143.80804968993,20
12,3,181081,80898,23067.596235423884,6
4,4,936238,72511,51795.83258365729,40
18,3,827555,71297,8100.00972471052,24
11,3,184275,81425,10646.422359213124,19
13,6,174625,75739,39866.61807428349,0
10,3,597897,20279,16342.61126098523,46
20,5,244203,8871,3844.573853962585,36
6,3,454729,60019,59363.32008814983,46
16,4,911022,85917,13975.178911666153,22
17,5,179874,97244,53786.370045901946,24
21,2,559063,60937,36735.726870684135,34
6,4,647209,80007,13453.250072226112,41
5,5,957900,49796,11538.451218009008,33
1,2,270502,67271,15918.220878139735,21
17,1,512606,8491,3574.4225203706405,11
14,2,866507,79166,77256.98053692043,0
4,5,28825,57680,19902.965336481633,27
18,1,40383,55158,48630.56812058375,6
1,4,883813,34810,10993.386765659661,47
12,4,239654,81651,24150.780925789088,27
15,5,763741,64340,49510.52153029143,0
10,1,14625,76040,27106.182493874872,7
17,2,758429,6085,4905.406677460894,34
5,5,729514,46947,41245.1960541701,26
18,3,452182,71714,65944.74821431897,45
14,4,758167,92997,54835.82652936618,4
10,1,987000,7890,5683.121165065162,22
9,4,59716,83948,31616.84569265187,6
7,3,252213,9644,388.1847739165071,35
2,5,728523,11829,796.0902616949639,31
15,6,588457,95554,74488.91718786105,3
18,4,330769,69980,61921.528589080255,38
6,5,622703,41707,35635.10846577951,43
14,4,316982,55647,5934.064838704813,25
18,2,237238,34727,32162.322747805636,37
15,6,157999,21683,6078.915205034978,7
10,5,489026,56334,4034.594389003562,22
1,5,969868,82832,79119.7902213911,8
15,2,955475,10173,219.6589590370945,24
20,2,852679,52532,40793.3460912112,2
20,1,526790,10182,2668.0346003934933,46
11,3,634633,40992,23706.187226347607,20
18,5,35645,60883,51183.24597313946,42
11,4,289708,80208,59640.04902516179,12
8,5,219847,44757,36660.74825135701,25
10,5,973896,40417,18252.486039151165,13
3,1,44420,73779,69592.16366837734,19
18,5,390762,97277,244.57239228560195,29
15,4,908440,34724,30929.641876072823,9
7,5,167578,86512,29495.466311620286,44
1,4,486430,50333,39051.55264121563,2
11,5,136670,85517,60989.370096809886,6
11,5,245129,18081,8186.8414613807145,22
11,5,629310,27919,12717.918372242122,46
19,3,400469,89966,20368.00692994346,35
20,6,51930,90841,27135.871798246037,0
2,4,372491,60111,40203.76475300802,10
19,5,348015,68847,288.81367042397136,0
9,3,497862,68137,39453.43493235322,48
6,3,802094,34797,15015.818186914772,34
20,3,538822,36374,2157.9661485122406,5
20,4,966737,89064,85178.56033433432,28
19,1,557960,28286,10086.126265842131,25
16,5,277585,17254,6625.05575841492,14
19,2,202006,12238,5474.7480044541635,39
21,1,826980,36435,21257.768166696733,25
7,1,777950,3720,1379.885511621905,32
5,5,422444,4686,3358.675125100066,29
11,5,261752,48002,5752.448114836577,44
15,4,840446,48980,42869.837934454554,33
8,4,244721,57540,32011.5521796834,45
3,2,539029,29270,22919.248053743642,13
18,3,166520,7526,6268.931280499621,31
14,6,500913,16978,16143.32189236509,43
18,4,865394,80898,7368.492532018944,30
15,6,377808,58538,51436.48030989395,27
3,3,918617,56208,51036.10119317577,24
16,5,497252,91312,49240.2681031568,8
10,5,767009,5680,4935.849931968636,17
20,6,816720,10469,4377.1361700683965,29
1,3,547572,76058,13673.366072411744,34
7,1,122298,41916,28224.564184952305,6
4,2,714435,12505,6225.049652017555,15
21,2,890750,85957,74478.70854829668,37
1,2,895236,95537,27665.422463072096,42
16,4,603495,65406,4469.12294973314,11
14,1,578389,32989,19414.182879091433,2
17,4,874377,30121,25571.41138574117,17
11,6,741170,11844,5843.741438627572,10
8,3,469642,69748,14115.524041393992,15
17,3,23342,91626,74879.91599205125,4
19,6,151536,8007,2751.004861721693,22
13,3,197302,60857,59906.249910598635,18
19,6,235771,94796,19804.884943154513,37
16,1,495981,40009,33017.23837283058,3
2,2,935723,75312,4402.49284784693,13
5,4,948625,41148,23165.99720828415,39
6,3,210977,38297,3064.7996509694576,6
12,4,987200,63735,11036.544068262647,14
6,5,780553,88781,38158.82153516921,16
17,5,815845,4951,2722.1586405861617,19
9,2,935646,66690,63826.15184618293,20
2,3,356952,70835,37782.53037472544,27
2,5,172422,8128,5015.609252450153,27
5,3,633992,6120,1216.2762441859022,46
20,1,224624,53313,13325.529769585528,30
2,1,62256,63337,51286.67183180705,18
18,6,378249,15094,13752.206623531372,34
12,4,899678,43882,5873.082827657363,45
14,3,871962,63987,56925.20247567568,22
14,4,361026,68987,6076.303756036322,22
7,5,621761,60775,60529.9402007215,14
21,5,53801,6769,5039.002130396293,35
15,1,450663,27410,12813.544425620785,41
18,1,610315,58935,18863.43316476542,20
19,4,724300,59513,56581.78116286117,14
16,6,50812,23259,5593.388045888294,5
17,1,120515,32937,2454.6865779247173,40
4,5,89707,34552,3668.667222254892,28
4,5,931737,85569,22956.257027002783,21
7,1,849638,63429,24400.554984692022,3
4,5,437141,87298,44550.29513821641,3
17,5,897540,19380,19104.975662748202,23
4,3,271571,63981,6540.83266938272,47
7,3,449934,56944,23522.446638817975,30
5,1,722893,23296,21725.599183419577,34
14,1,538124,6143,3634.241741029169,29
10,4,420843,17669,11073.373696273427,41
2,6,697564,90032,85074.21540423585,0
21,3,567644,14378,8158.457076844661,44
17,3,739301,2762,1417.7062462082856,25
17,3,150682,36239,7987.552440787477,29
5,3,307586,93738,88569.56294733644,41
10,2,161161,40536,9248.623061171304,20
9,2,1804,33945,4151.814486565291,23
4,5,871534,54008,45420.3320311736,47
15,5,820345,54804,23452.784304615034,32
15,4,250662,91009,42347.94178802115,10
3,6,112409,36356,6382.363031392132,0
7,1,254360,84384,183.8105057051245,21
17,5,117630,75695,34235.517175683824,9
15,2,279089,2719,1899.9704199835992,17
6,3,105567,52032,14472.894165242802,0
17,4,678986,6479,119.94706348093963,40
13,2,76117,25991,23150.70083910322,31
16,3,721806,28399,21841.379174875656,31
10,6,106475,85778,66530.17364426552,43
8,1,551841,51545,15140.106657818873,24
21,2,576674,94243,83095.0399191064,32
12,4,812652,36271,6260.968832721926,37
13,4,107433,90409,17214.145441569803,47
6,5,29200,39475,18130.53704563222,45
1,5,410466,1325,514.331686077055,17
3,4,328432,55930,53868.2344639223,5
12,2,921553,38441,1986.3763233708999,9
16,6,812412,25389,7592.723431601827,26
13,1,97032,6500,2301.355077023835,9
6,3,537341,48791,41833.83498490542,11
3,3,579813,27094,3184.984062932124,27
4,3,233213,66444,47253.27645574098,8
12,3,789666,11069,7491.034677756272,22
21,6,419089,24224,3531.7055348224408,20
11,5,86070,15325,1844.013305260472,26
21,1,678014,84776,50992.724544916025,6
19,5,80620,6218,4433.276534683514,47
16,2,147868,89573,68734.190084159,12
1,3,4240,71995,66982.55952024923,7
11,6,570442,81088,15330.293592365666,48
12,5,838612,73241,69439.654263276,10
2,2,795964,8202,4913.14895738889,30
14,6,233663,6127,962.7252747464662,44
19,5,15229,60300,43091.115671870335,15
7,3,802834,74238,33201.4826571135,4
9,5,590033,48827,28725.24765592621,27
12,2,244686,62015,5682.749346823326,40
12,2,682625,8544,1346.499100300176,38
10,5,136919,74182,19603.74637327381,20
11,1,376454,52326,50138.58998696747,40
10,2,840497,9090,204.51067982000913,3
11,3,584954,68849,9547.122678606842,26
19,5,315258,2551,1355.1389027510374,44
16,5,313888,39450,34563.07767213645,11
6,6,845320,95787,46219.135564382275,26
14,3,72038,18829,2283.3145542261673,48
20,6,76683,96738,43183.30621510513,44
13,6,756461,9920,7317.1612565163805,23
18,5,337828,24808,3848.5287641068144,23
6,2,187968,69325,28348.02640401299,27
10,2,246414,28496,24063.67052848435,33
1,1,385996,59576,45885.57826362721,35
4,1,152347,46140,35986.41443702198,20
14,3,420954,31280,25452.274877100317,17
21,4,196683,93292,18379.758438709938,35
14,4,923249,67359,43450.55155126728,26
1,6,199063,39726,21866.323702081056,13
14,3,724807,96370,29914.8062791977,5
10,3,311083,79448,31072.04365624448,9
6,3,125105,15711,15485.415942036476,1
9,6,548968,68040,33351.1257463958,10
15,3,704060,98342,78397.4693303793,10
2,3,2994,99627,40313.84866107058,10
19,6,1873,99415,84193.99920672733,2
7,4,390677,92907,53007.641724522335,24
16,2,38169,16586,11344.855767036439,40
3,6,340277,10911,6166.137462468378,31
17,6,610287,51703,34071.09797839888,39
2,2,266119,73810,35274.75072843165,6
19,3,611345,65613,50205.156679424465,36
14,3,191362,117,16.415406609800723,45
5,6,531962,15948,7459.532752601239,44
16,3,676770,92090,77903.54270587707,5
11,2,496786,45751,31339.43398489813,6
18,4,248118,59630,43355.193491145095,11
21,1,479217,94247,85389.89204946709,4
17,5,239365,76979,28756.93933961872,44
1,2,813114,21276,10231.5343320857,29
7,5,757611,79564,19209.476426056142,26
20,3,897895,83574,47773.345255185326,3
21,5,128402,5797,333.59196013892046,38
1,4,976559,52562,45974.86838098588,40
10,1,727787,92356,53794.61287971638,26
10,3,842605,58591,14998.847664940296,47
9,1,397429,88776,64710.44762347298,28
2,2,794463,74438,29919.301932782953,24
21,5,112024,46594,34608.761420657596,1
3,6,248465,96508,87941.47428663677,34
1,6,752433,27448,16430.1928646796,28
20,5,494369,71412,17393.858593302786,3
5,3,2600,80028,77824.0305594359,46
10,6,219166,9096,1359.6697895064942,40
15,6,955581,25396,4166.925794858476,37
4,1,310111,85055,52774.38523282499,41
18,4,269593,62420,4382.062825685687,23
7,1,329353,8002,2613.8105859744014,3
19,4,512532,22293,4429.329231868737,39
11,5,973341,69726,5573.486290458709,17
16,6,447600,49258,28189.864766300718,7
3,1,120415,52498,35758.680561290494,18
2,6,734591,53867,31974.424021797302,47
18,1,738645,75985,68.49490871821205,10
14,1,494652,85803,58249.49958469397,42
7,4,124812,91733,9663.60950328665,42
15,6,688862,49497,42936.716048021095,4
10,5,247139,13078,3723.9298502725464,32
3,4,243532,82133,80502.58363729861,0
19,3,633618,99050,24567.80401434216,39
14,1,661182,4204,381.77514394707964,18
8,1,51166,1027,336.8014178723078,16
15,6,897026,16081,10928.02582832465,29
11,5,888492,41408,31243.09881330349,47
19,3,981462,24469,16938.417683058546,41
9,6,905972,70355,1305.8247459941274,38
12,5,474163,23761,6454.672877833303,9
14,3,859322,89827,42249.760496200026,12
8,2,689598,70676,51862.431060101364,27
19,4,249723,54489,30456.21914743973,21
9,1,42594,46139,13385.149853622064,44
9,1,558257,55561,9363.13663929251,8
6,1,153634,47414,32136.79042549143,20
12,6,235714,1867,441.8739125707962,25
15,5,826535,27966,1669.4578933487637,36
20,5,567268,67857,4023.9053424828367,15
14,6,224036,38105,31127.34614924621,42
9,5,546967,89802,23988.00707887037,27
14,6,580134,73796,10236.281462732248,0
20,5,457746,55208,19521.121833794266,20
14,1,123071,22627,13100.312306007288,40
1,5,79696,11474,7581.411058941354,7
15,4,655349,59436,45727.137225584505,33
2,1,259127,99056,53214.591083224375,33
20,3,315917,46830,37093.91256174585,30
15,3,281293,89280,38496.86626513101,46
3,2,948348,1630,1194.6168763736434,37
17,2,372554,5165,88.3212806321365,15
21,5,477715,52776,39151.98249024634,25
21,5,48664,59362,34751.58742629117,41
11,2,579564,79595,1102.8143376417877,30
11,4,138079,13880,4879.21744346934,18
21,6,128308,29528,22841.102760232567,2
17,3,764925,17236,2857.5519655590747,20
17,5,258847,8814,8389.837930902062,8
16,6,338653,13609,5031.8553546560015,17
19,6,278461,18223,12715.045295215376,4
19,4,290499,89918,3186.9401432537793,8
8,4,271665,3881,2422.3608696745705,14
17,5,628639,65288,43305.2593895248,13
5,2,765523,46426,38570.55247208501,31
1,5,921033,64352,3697.282498220722,15
15,2,852063,3631,1926.725499363341,46
2,1,441563,15857,7266.467231844773,21
15,3,651751,80432,13866.088300165455,11
9,5,164900,60822,20464.003694480718,20
3,6,492793,11037,6589.868979332248,28
3,3,88920,15215,14136.677077880428,41
16,2,107824,1845,1375.2736046850234,0
2,3,157019,91858,21463.54716297565,19
5,3,92365,8619,1847.5704025195691,19
14,1,28891,79661,61435.563883360184,3
21,1,738173,12306,3157.5746825157576,19
7,2,18878,45457,11463.67970183584,47
16,6,272878,80214,34717.624960311325,0
17,6,786592,96028,23341.781218779444,22
16,1,435017,60427,55911.03732844023,2
15,1,941933,79923,66364.49824985574,20
4,2,14658,40420,22637.921168794885,11
7,4,872469,39811,37953.31809433909,7
17,4,702681,80364,41283.45425159156,31
21,6,254315,37318,16360.744851357504,44
14,1,511192,40093,333.6811740437061,21
21,5,63610,26351,15400.046516806562,17
9,4,167023,28823,20762.63325649744,31
13,5,300155,99660,91280.10332050794,34
12,6,93151,17778,15723.269008807145,44
11,6,161370,40967,14260.324052658609,10
16,6,877638,26657,14657.845632425813,25
19,3,32534,54890,54874.67471252682,42
11,6,970116,44903,10649.055932593517,41
10,1,942672,3355,229.96767248166063,19
13,6,971480,15828,15382.441466387474,28
6,6,162416,45620,15772.876335925426,12
3,3,864198,31635,7663.55581088631,35
21,1,166895,46268,4151.244071696079,43
21,1,403463,20649,12264.089206915569,1
7,3,319066,3749,2633.1718502560484,27
15,5,439243,84204,34034.574770097184,21
7,6,893319,89993,50925.07627421174,6
15,1,456994,65423,2742.7118167174276,37
18,1,472476,42717,37060.8146316892,22
5,2,574181,68297,62260.73389141009,3
15,6,427667,89281,34591.0295700264,6
9,6,5904,11659,8392.098562612759,11
2,4,261827,95221,31506.04544512296,39
2,3,183120,62383,55606.34158681408,20
9,6,395591,47433,8937.296576955197,24
13,1,764111,77896,66377.66471034968,40
18,2,277077,29171,14318.01634057486,18
14,5,529347,4598,3260.01065154542,8
14,4,33603,95973,13378.842731587654,28
13,3,283296,41277,38147.114629344476,28
1,5,852554,8847,5801.267291407126,46
6,1,760919,23433,9310.165526752267,30
13,3,895837,24135,12984.771182797318,36
2,2,953898,69543,56387.40123451741,22
16,6,101729,83951,3524.028380428336,7
6,2,843060,84381,41654.680847072,27
6,5,683891,86735,80673.35029722276,3
20,6,287204,77120,45003.94076179088,28
3,4,763344,4841,2783.422296438158,27
1,3,35689,93457,48717.324229345206,27
6,5,164648,32632,8149.048175312593,32
10,4,821127,50755,32494.380598184296,48
20,2,858742,24362,16058.550002577536,0
10,2,956509,27307,19920.029861566563,1
4,3,895089,50863,15403.566178827834,39
2,6,423999,67934,40905.62284269281,18
19,4,454504,77402,35920.12726554538,23
10,6,294672,98735,39203.61259580094,36
18,6,659441,80690,11325.77398427634,0
20,4,249336,5420,4999.521289106519,45
7,1,527257,79490,30321.43813345729,22
19,2,948095,4741,2205.9927504504094,5
17,4,492820,36922,1565.8488794509208,10
8,6,952261,66960,17489.92529563468,10
12,3,820838,527,293.08216129001335,41
8,4,903890,50240,23063.325200168554,39
5,1,34226,86164,16239.469554019603,27
8,2,512804,46962,8337.765208260675,24
6,2,257624,15937,3946.8693495535254,9
19,1,564838,93284,40994.409310006515,46
3,6,52115,41820,30780.641279519365,30
3,5,297973,56421,54646.75042904699,14
13,3,138697,54593,52381.00627840614,3
1,1,262764,74001,4912.963394416093,6
2,2,448507,60291,15054.465072681274,16
6,2,956776,48489,19152.654800590502,42
6,5,965603,31438,13413.159818311584,30
18,2,365765,47562,46730.16121846551,13
7,5,101911,19813,9254.02388732997,15
10,2,555032,31470,8743.972850060296,48
17,6,59536,13621,1133.2571196546246,9
2,2,529032,28118,27327.501615032663,20
21,1,549203,96604,7271.978933740391,14
13,6,770450,74938,18303.872652109894,5
7,3,47883,8197,2233.277655235112,9
17,3,889004,95891,56494.83270802036,36
14,5,87476,64236,41832.89587833444,39
12,6,909862,63748,57451.96340100153,16
21,4,511321,48650,14134.130106760069,35
13,5,249340,64069,25953.47037123558,32
2,6,57409,92827,29765.752568397224,6
18,1,25420,72519,64960.7251134345,42
17,6,199947,19559,13842.429199946153,2
15,6,771718,74420,17607.715004583453,9
10,6,282739,27735,12851.345648144925,17
5,3,656420,44207,3420.6393391278525,26
8,6,354800,69160,41563.82902741756,1
18,6,443531,70727,25489.777019952067,46
15,5,69820,55593,47809.19688476887,17
19,3,666397,12106,1164.124803081689,33
1,5,279326,35888,15396.06755068296,14
2,2,207047,18768,2056.587844361102,7
8,3,367096,54398,15576.90194656053,38
21,2,518038,58095,24450.31085119284,37
6,6,442568,63410,54744.211489850444,32
8,3,109429,62967,62018.60327609734,22
7,4,593064,74821,50640.841024846515,18
3,1,523962,99282,37312.02446863871,36
6,6,836438,68208,22876.961885080957,17
15,3,672880,77739,33426.047167082674,18
19,4,889666,58287,40068.22402618189,6
7,6,211401,89340,63048.48785927138,21
21,3,152447,97128,31460.210428867307,18
9,1,743997,40071,4601.201112407669,43
13,5,275229,59663,27923.31441095568,31
7,2,392453,97058,48589.09960186833,21
2,2,478037,82468,71494.00832932176,7
13,5,938532,19873,6083.731034592548,34
20,5,891445,62169,3118.421807003334,25
15,3,384542,66255,35731.172280195344,46
2,5,42656,23500,19175.66931968428,30
19,5,481470,15903,15441.10755311452,6
9,3,356326,86779,65110.02107613412,33
9,6,297157,24047,23807.752953039555,27
8,2,726074,35186,12055.329385296693,12
3,1,755745,57387,31086.892061099687,45
8,3,560493,880,436.0330075352888,15
20,1,917817,56789,14182.228628417364,14
2,5,529966,54110,43153.34482955625,4
15,6,936947,20538,12741.10311435731,27
19,1,365664,67321,8586.764166700168,1
8,4,206992,62636,2221.5758161130634,16
18,1,396259,64063,43602.60290528799,11
21,3,52613,24443,8716.512783611306,48
10,2,657170,2554,1099.1869356682218,32
3,1,701925,93785,23627.912221079543,7
11,4,339456,48804,16560.7307250167,16
4,6,594394,84903,75075.52997875737,24
14,3,481400,23654,17326.40051332886,17
2,6,530011,79249,23852.20533150394,12
19,1,701621,67144,17712.986092054187,37
2,2,522083,19585,7658.958808185864,5
5,6,181460,92072,17962.020609174193,29
6,6,774434,76749,66592.96448516926,24
17,2,601658,99521,45523.46366131794,34
16,3,217165,92777,90523.83528510504,13
21,4,494417,45134,35773.08108481763,47
21,1,651142,9882,8204.510251167469,11
20,5,204754,44215,7720.382395146931,36
8,2,461592,31189,13756.783908534218,4
17,1,627132,98679,42571.9909972078,20
15,3,207904,53545,23914.69739351128,18
8,2,288655,29806,24612.875203455635,46
17,6,815834,29722,10476.454993205041,27
15,1,792637,61104,17510.662652321793,37
7,1,137026,62415,57222.243556172245,8
18,2,388807,57033,24880.55113627587,36
12,2,356675,47547,4646.901255938296,28
11,1,204079,56293,6592.2566815149485,18
4,5,121094,19852,17231.504708792563,36
7,6,911679,36772,31624.438636533858,7
1,1,413433,87237,18128.04421867649,16
2,4,204821,15801,7986.261957676466,48
13,6,342397,58408,1349.8644006465936,46
12,3,786648,18976,2197.5514721227437,47
14,2,171287,40691,21309.663569958415,15
2,4,830741,9524,554.9349884977368,21
20,5,120383,48356,26184.84310118383,31
20,1,249726,39572,3124.924949186761,13
7,3,850982,3291,467.7972340692048,18
19,4,816352,91960,38225.25815802255,5
4,5,617150,20168,19905.493953586712,28
19,2,167311,85144,17529.66557827464,2
18,5,456092,5473,1333.3994134808718,47
